2026-08-02T06:38:58.542 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:58.682 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:58.808 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:58.937 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:59.094 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:59.295 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:59.494 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:59.648 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:59.811 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:38:59.931 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:00.097 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:00.256 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"title_ready","state":"title","frame":106}
2026-08-02T06:39:00.258 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:00.404 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:00.555 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:00.668 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:00.788 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:00.897 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:01.019 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:01.121 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:01.224 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:01.345 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:01.463 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:01.572 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
2026-08-02T06:39:01.687 INFO     [pid=5555 thread=MainThread] BREADCRUMB {"event":"frame_catchup_capped","frame_seconds":0.1}
